id,titulo,autores,anio
0,"Automated Deduction in Geometry: 5th International Workshop, ADG 2004, Gainesville, FL, USA, September 16-18, 2004, Revised Papers (Lecture Notes in Computer ... / Lecture Notes in Artificial Intelligence)","Hoon Hong,Dongming Wang",2006
1,A+ Certification Core Hardware (Text & Lab Manual),Charles J. Brooks,2003
2,Performance engineering in industry: current practices and adoption challenges,"Ahmed E. Hassan,Parminder Flora",2007
3,"Dude, You Can Do It! How to Build a Sweeet PC","Darrel Creacy,Carlito Vicencio",2005
4,What Every Programmer Needs to Know about Security (Advances in Information Security),"Neil Daswani,Anita Kesavan",2006
5,Interpreting Kullback-Leibler divergence with the Neyman-Pearson lemma,"Shinto Eguchi,John Copas",2006
6,Digital Media: Transformations in Human Communication,"Lee Humphreys,Paul Messaris",2006
7,TOPP---the OpenMS proteomics pipeline,"Oliver Kohlbacher,Knut Reinert,Clemens Gröpl,Eva Lange,Nico Pfeifer,Ole Schulz-Trieglaff,Marc Sturm",2007
8,Type Graphics and MacIntosh,John Blaint,1987
9,"Adaptive Hypermedia and Adaptive Web-Based Systems: 4th International Conference, AH 2006, Dublin, Ireland, June 21-23, 2006, Proceedings (Lecture Notes in Computer Science)","Vincent Wade,Helen Ashman,Barry Smyth",2006
10,"Dependable Computing: Second Latin-American Symposium, LADC 2005, Salvador, Brazil, October 25-28, 2005, Proceedings (Lecture Notes in Computer Science)","Carlos Alberto Maziero,João Gabriel Silva,Aline Maria Santos Andrade,Flávio Morais de Assis Silva",2005
